#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jun 16 15:36:59 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       tan_combinatorial_map.ncd
#OUTPUT FILE:      tan_combinatorial_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,IOB33S,IO_L9N_T1_DQS_AD7N_35,UNUSED,,35,,,,,,,,,
A2,,,GND,,,,,,,,,,,,
A3,,IOB33S,IO_L8N_T1_AD14N_35,UNUSED,,35,,,,,,,,,
A4,,IOB33M,IO_L8P_T1_AD14P_35,UNUSED,,35,,,,,,,,,
A5,,IOB33S,IO_L3N_T0_DQS_AD5N_35,UNUSED,,35,,,,,,,,,
A6,,IOB33M,IO_L3P_T0_DQS_AD5P_35,UNUSED,,35,,,,,,,,,
A7,,,VCCO_35,,,35,,,,,1.80,,,,
A8,,IOB33S,IO_L12N_T1_MRCC_16,UNUSED,,16,,,,,,,,,
A9,,IOB33S,IO_L14N_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A10,,IOB33M,IO_L14P_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A11,sqrt<8>,IOB,IO_L4N_T0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A12,,,GND,,,,,,,,,,,,
A13,sqrt<28>,IOB,IO_L9P_T1_DQS_AD3P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A14,sqrt<18>,IOB,IO_L9N_T1_DQS_AD3N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A15,sqrt<15>,IOB,IO_L8P_T1_AD10P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A16,sqrt<16>,IOB,IO_L8N_T1_AD10N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A17,,,VCCO_15,,,15,,,,,1.80,,,,
A18,sqrt<31>,IOB,IO_L10N_T1_AD11N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B1,,IOB33M,IO_L9P_T1_DQS_AD7P_35,UNUSED,,35,,,,,,,,,
B2,,IOB33S,IO_L10N_T1_AD15N_35,UNUSED,,35,,,,,,,,,
B3,,IOB33M,IO_L10P_T1_AD15P_35,UNUSED,,35,,,,,,,,,
B4,,IOB33S,IO_L7N_T1_AD6N_35,UNUSED,,35,,,,,,,,,
B5,,,GND,,,,,,,,,,,,
B6,,IOB33S,IO_L2N_T0_AD12N_35,UNUSED,,35,,,,,,,,,
B7,,IOB33M,IO_L2P_T0_AD12P_35,UNUSED,,35,,,,,,,,,
B8,,IOB33M,IO_L12P_T1_MRCC_16,UNUSED,,16,,,,,,,,,
B9,,IOB33S,IO_L11N_T1_SRCC_16,UNUSED,,16,,,,,,,,,
B10,,,VCCO_16,,,16,,,,,any******,,,,
B11,sqrt<7>,IOB,IO_L4P_T0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B12,sqrt<6>,IOB,IO_L3N_T0_DQS_AD1N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B13,sqrt<3>,IOB,IO_L2P_T0_AD8P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B14,sqrt<4>,IOB,IO_L2N_T0_AD8N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B15,,,GND,,,,,,,,,,,,
B16,sqrt<13>,IOB,IO_L7P_T1_AD2P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B17,sqrt<14>,IOB,IO_L7N_T1_AD2N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B18,sqrt<30>,IOB,IO_L10P_T1_AD11P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C1,operand_a<10>,IOB,IO_L16N_T2_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
